2026-01-15 19:26:40 | INFO     | core.api_client:__init__:35 | Инициализация T-Tech API клиента
2026-01-15 19:26:40 | INFO     | core.api_client:__init__:36 |   Режим: ПЕСОЧНИЦА
2026-01-15 19:26:40 | INFO     | core.api_client:__init__:37 |   Target: sandbox-invest-public-api.tinkoff.ru:443
2026-01-15 19:26:40 | DEBUG    | core.portfolio:_load_stats:70 | Загружена история из C:\Users\vladp\Desktop\futures_bot\data\portfolio_stats.json
2026-01-15 19:26:40 | INFO     | core.portfolio:__init__:61 | Инициализация портфеля. Депозит: 10000.00₽
2026-01-15 19:26:40 | INFO     | core.time_manager:__init__:21 | Настроено 3 торговых сессий
2026-01-15 19:26:41 | INFO     | data.history:__init__:47 | Инициализация исторических данных. Директория: C:\Users\vladp\Desktop\futures_bot\data\historical
2026-01-15 19:26:41 | INFO     | analysis.technical.indicators:__init__:26 | Инициализация технических индикаторов
2026-01-15 19:26:41 | INFO     | analysis.technical.psychological:__init__:27 | Инициализация анализатора психологических уровней
2026-01-15 19:26:41 | INFO     | analysis.technical.indicators:__init__:26 | Инициализация технических индикаторов
2026-01-15 19:26:41 | INFO     | analysis.technical.psychological:__init__:27 | Инициализация анализатора психологических уровней
2026-01-15 19:26:41 | INFO     | analysis.patterns.basic_patterns:__init__:66 | Инициализация детектора графических паттернов (полная версия)
2026-01-15 19:26:41 | INFO     | analysis.patterns.basic_patterns:__init__:66 | Инициализация детектора графических паттернов (полная версия)
2026-01-15 19:26:41 | INFO     | analysis.elliott.waves:__init__:53 | Инициализация анализатора волн Эллиота
2026-01-15 19:28:31 | INFO     | utils.logger:_setup_file_logging:87 | Логирование в файл настроено: logs\bot.log
2026-01-15 19:28:31 | INFO     | core.api_client:__init__:35 | Инициализация T-Tech API клиента
2026-01-15 19:28:31 | INFO     | core.api_client:__init__:36 |   Режим: ПЕСОЧНИЦА
2026-01-15 19:28:31 | INFO     | core.api_client:__init__:37 |   Target: sandbox-invest-public-api.tinkoff.ru:443
2026-01-15 19:28:31 | DEBUG    | core.portfolio:_load_stats:70 | Загружена история из C:\Users\vladp\Desktop\futures_bot\data\portfolio_stats.json
2026-01-15 19:28:31 | INFO     | core.portfolio:__init__:61 | Инициализация портфеля. Депозит: 10000.00₽
2026-01-15 19:28:31 | INFO     | core.time_manager:__init__:21 | Настроено 3 торговых сессий
2026-01-15 19:28:31 | INFO     | data.history:__init__:47 | Инициализация исторических данных. Директория: C:\Users\vladp\Desktop\futures_bot\data\historical
2026-01-15 19:28:31 | INFO     | analysis.technical.indicators:__init__:26 | Инициализация технических индикаторов
2026-01-15 19:28:31 | INFO     | analysis.technical.psychological:__init__:27 | Инициализация анализатора психологических уровней
2026-01-15 19:28:31 | INFO     | analysis.technical.indicators:__init__:26 | Инициализация технических индикаторов
2026-01-15 19:28:31 | INFO     | analysis.technical.psychological:__init__:27 | Инициализация анализатора психологических уровней
2026-01-15 19:28:31 | INFO     | analysis.patterns.basic_patterns:__init__:66 | Инициализация детектора графических паттернов (полная версия)
2026-01-15 19:28:31 | INFO     | analysis.patterns.basic_patterns:__init__:66 | Инициализация детектора графических паттернов (полная версия)
2026-01-15 19:28:31 | INFO     | analysis.elliott.waves:__init__:53 | Инициализация анализатора волн Эллиота
2026-01-15 19:28:31 | INFO     | analysis.elliott.waves:__init__:53 | Инициализация анализатора волн Эллиота
2026-01-15 19:28:32 | INFO     | analysis.gaps.analyzer:__init__:52 | Инициализация анализатора гэпов
2026-01-15 19:28:32 | INFO     | analysis.gaps.analyzer:__init__:52 | Инициализация анализатора гэпов
2026-01-15 19:28:32 | INFO     | analysis.imbalances.analyzer:__init__:50 | Инициализация анализатора имбалансов
2026-01-15 19:29:56 | INFO     | utils.logger:_setup_file_logging:87 | Логирование в файл настроено: logs\bot.log
2026-01-15 19:29:56 | INFO     | core.api_client:__init__:35 | Инициализация T-Tech API клиента
2026-01-15 19:29:56 | INFO     | core.api_client:__init__:36 |   Режим: ПЕСОЧНИЦА
2026-01-15 19:29:56 | INFO     | core.api_client:__init__:37 |   Target: sandbox-invest-public-api.tinkoff.ru:443
2026-01-15 19:29:56 | DEBUG    | core.portfolio:_load_stats:70 | Загружена история из C:\Users\vladp\Desktop\futures_bot\data\portfolio_stats.json
2026-01-15 19:29:56 | INFO     | core.portfolio:__init__:61 | Инициализация портфеля. Депозит: 10000.00₽
2026-01-15 19:29:56 | INFO     | core.time_manager:__init__:21 | Настроено 3 торговых сессий
2026-01-15 19:29:57 | INFO     | data.history:__init__:47 | Инициализация исторических данных. Директория: C:\Users\vladp\Desktop\futures_bot\data\historical
2026-01-15 19:29:57 | INFO     | analysis.technical.indicators:__init__:26 | Инициализация технических индикаторов
2026-01-15 19:29:57 | INFO     | analysis.technical.psychological:__init__:27 | Инициализация анализатора психологических уровней
2026-01-15 19:29:57 | INFO     | analysis.technical.indicators:__init__:26 | Инициализация технических индикаторов
2026-01-15 19:29:57 | INFO     | analysis.technical.psychological:__init__:27 | Инициализация анализатора психологических уровней
2026-01-15 19:29:57 | INFO     | analysis.patterns.basic_patterns:__init__:66 | Инициализация детектора графических паттернов (полная версия)
